ID;Name;LongName;Parent;Component;Path;Line;Column;EndLine;EndColumn;CC;CCL;CCO;CI;CLC;CLLC;LDC;LLDC;LCOM5;NL;NLE;WMC;CBO;CBOI;NII;NOI;RFC;AD;CD;CLOC;DLOC;PDA;PUA;TCD;TCLOC;DIT;NOA;NOC;NOD;NOP;LLOC;LOC;Natt;NG;NLA;NLG;NLM;NLPA;NLPM;NLS;NM;NOS;NPA;NPM;NS;TLLOC;TLOC;TNA;TNG;TNLA;TNLG;TNLM;TNLPA;TNLPM;TNLS;TNM;TNOS;TNPA;TNPM;TNS;WarningBlocker;WarningCritical;WarningInfo;WarningMajor;WarningMinor;Bad Practice Rules;Best Practice Rules;Clone Metric Rules;Code Style Rules;Cohesion Metric Rules;Complexity Metric Rules;Correctness Rules;Coupling Metric Rules;Design Rules;Documentation Metric Rules;Documentation Rules;Dodgy Code Rules;Error Prone Rules;Experimental Rules;Inheritance Metric Rules;Internationalization Rules;Multithreaded Correctness Rules;Multithreading Rules;Optimization Rules;Performance Rules;Runtime Rules;Security Code Guideline Rules;Security Rules;Size Metric Rules;Vulnerability Rules
L708;Analyzer;org.apache.lucene.analysis.Analyzer;L128;L103;D:\Descargas\lucene-4.9.1\core\src\java\org\apache\lucene\analysis\Analyzer.java;71;1;458;2;0;0;0;0;0;0;0;0;2;1;1;15;5;753;236;6;16;1;0.722727;159;159;9;0;0.656489;258;0;0;390;437;0;61;220;4;3;4;3;10;2;8;0;10;26;2;8;0;135;388;7;11;7;9;26;2;21;5;32;48;2;23;7;0;0;21;1;10;0;0;0;8;1;0;0;0;0;12;3;0;0;0;3;0;0;0;0;0;0;0;0;5;0
L12711;AnalyzerWrapper;org.apache.lucene.analysis.AnalyzerWrapper;L128;L103;D:\Descargas\lucene-4.9.1\core\src\java\org\apache\lucene\analysis\AnalyzerWrapper.java;33;1;119;2;0;0;0;0;0;0;0;0;1;0;0;9;3;13;4;5;14;0.25;0.640449;57;57;1;3;0.640449;57;1;1;9;9;1;32;87;4;6;0;3;9;0;3;0;18;8;2;11;0;32;87;4;6;0;3;9;0;3;0;18;8;2;11;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
L5881;CachingTokenFilter;org.apache.lucene.analysis.CachingTokenFilter;L128;L103;D:\Descargas\lucene-4.9.1\core\src\java\org\apache\lucene\analysis\CachingTokenFilter.java;36;1;98;2;0;0;0;0;0;0;0;0;1;1;1;10;4;8;6;5;10;0.6;0.384615;25;21;3;2;0.384615;25;3;3;0;0;1;40;63;11;6;3;0;5;0;4;0;39;17;2;31;0;40;63;11;6;3;0;5;0;4;0;39;17;2;31;0;0;0;9;0;4;0;0;0;2;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0
L1234;CharFilter;org.apache.lucene.analysis.CharFilter;L128;L103;D:\Descargas\lucene-4.9.1\core\src\java\org\apache\lucene\analysis\CharFilter.java;41;1;84;2;0;0;0;0;0;0;0;0;1;0;0;5;0;27;19;0;4;1;0.724138;42;42;4;0;0.724138;42;0;0;8;12;0;16;44;1;0;1;0;4;0;3;0;4;5;0;3;0;16;44;1;0;1;0;4;0;3;0;4;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L7412;NumericTokenStream;org.apache.lucene.analysis.NumericTokenStream;L128;L103;D:\Descargas\lucene-4.9.1\core\src\java\org\apache\lucene\analysis\NumericTokenStream.java;93;1;326;2;0;0;0;0;0;0;0;0;1;1;1;15;8;4;9;11;21;0.818182;0.64375;103;101;9;2;0.492248;127;2;2;0;0;1;57;131;14;7;7;1;10;2;10;4;40;26;4;34;4;131;234;24;15;13;8;30;2;29;6;67;51;5;57;6;0;0;46;0;18;0;1;0;10;1;0;0;0;1;35;1;0;0;0;1;0;0;0;0;5;0;0;0;9;0
L30264;ReusableStringReader;org.apache.lucene.analysis.ReusableStringReader;L128;L103;D:\Descargas\lucene-4.9.1\core\src\java\org\apache\lucene\analysis\ReusableStringReader.java;23;1;61;2;0;0;0;0;0;0;0;0;1;1;1;6;0;3;2;0;4;0.25;0.339623;18;17;1;3;0.339623;18;0;0;0;0;0;35;39;3;0;3;0;4;0;3;1;4;16;0;3;1;35;39;3;0;3;0;4;0;3;1;4;16;0;3;1;0;0;9;0;6;0;2;0;1;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
L13248;Token;org.apache.lucene.analysis.Token;L128;L103;D:\Descargas\lucene-4.9.1\core\src\java\org\apache\lucene\analysis\Token.java;72;1;387;2;0;0;0;0;0;0;0;0;2;1;1;36;9;62;74;22;50;0.821429;0.51682;169;167;23;5;0.51682;169;4;12;0;0;3;158;316;13;5;3;2;28;1;27;2;73;78;2;70;8;158;316;13;5;3;2;28;1;27;2;73;78;2;70;8;0;0;27;1;4;0;0;0;3;1;0;0;0;0;13;1;0;1;0;2;0;0;0;0;0;0;0;0;11;0
L413;TokenFilter;org.apache.lucene.analysis.TokenFilter;L128;L103;D:\Descargas\lucene-4.9.1\core\src\java\org\apache\lucene\analysis\TokenFilter.java;27;1;72;2;0;0;0;0;0;0;0;0;1;0;0;4;1;202;234;4;8;1;0.595745;28;28;4;0;0.595745;28;2;2;154;169;1;19;46;8;6;1;0;4;0;3;0;35;5;2;28;0;19;46;8;6;1;0;4;0;3;0;35;5;2;28;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0
L291;Tokenizer;org.apache.lucene.analysis.Tokenizer;L128;L103;D:\Descargas\lucene-4.9.1\core\src\java\org\apache\lucene\analysis\Tokenizer.java;34;1;119;2;0;0;0;0;0;0;0;0;1;2;1;12;3;449;154;4;11;0.75;0.407895;31;29;3;1;0.369048;31;2;2;35;51;1;45;77;10;6;3;0;7;0;3;2;38;20;2;28;2;53;86;10;6;3;0;9;0;5;2;40;21;2;30;2;0;3;19;0;2;0;0;0;1;1;0;0;0;3;14;1;0;0;0;2;0;0;0;0;0;0;0;0;2;0
L310;TokenStream;org.apache.lucene.analysis.TokenStream;L128;L103;D:\Descargas\lucene-4.9.1\core\src\java\org\apache\lucene\analysis\TokenStream.java;88;1;208;2;0;0;0;0;0;0;0;0;4;2;2;13;3;686;328;6;14;1;0.753012;125;124;5;0;0.753012;125;1;1;43;265;1;41;121;7;6;1;0;8;1;4;0;31;17;2;25;0;41;121;7;6;1;0;8;1;4;0;31;17;2;25;0;0;0;9;2;3;0;0;0;3;1;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;4;0
