"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L30071","TestJapaneseTokenizer","org.apache.lucene.analysis.ja.TestJapaneseTokenizer","L27751","L103","D:\Descargas\lucene-4.10.0\analysis\kuromoji\src\test\org\apache\lucene\analysis\ja\TestJapaneseTokenizer.java","43","1","720","2","0.303076","4","20","11","0.20944","0.283433","142","142","4","4","4","65","18","4","7","29","72","0.243243","0.199659","117","84","9","28","0.18932","117","2","2","0","0","1","469","646","51","6","4","0","43","0","36","0","193","188","28","163","3","501","678","56","30","4","0","49","0","36","0","265","202","30","223","9","0","4","208","18","33","0","37","67","4","1","2","0","2","7","111","0","0","7","0","0","0","0","0","0","0","0","0","0","25","0"
"L30204","TestJapaneseTokenizerFactory","org.apache.lucene.analysis.ja.TestJapaneseTokenizerFactory","L27751","L103","D:\Descargas\lucene-4.10.0\analysis\kuromoji\src\test\org\apache\lucene\analysis\ja\TestJapaneseTokenizerFactory.java","32","1","120","2","0.127907","1","2","1","0.11236","0.140845","10","10","2","1","1","7","4","0","0","7","13","0.857143","0.186047","16","16","6","1","0.183908","16","2","2","0","0","1","70","88","47","6","0","0","6","0","6","0","156","31","28","133","3","71","89","47","6","0","0","6","0","6","0","156","31","28","133","3","0","1","38","1","2","0","2","13","0","1","0","0","0","0","16","0","0","2","0","0","0","0","0","0","0","0","0","0","8","0"
"L30222","TestSearchMode","org.apache.lucene.analysis.ja.TestSearchMode","L27751","L103","D:\Descargas\lucene-4.10.0\analysis\kuromoji\src\test\org\apache\lucene\analysis\ja\TestSearchMode.java","33","1","82","2","0","0","0","0","0","0","0","0","1","4","4","7","3","0","0","3","4","0.5","0.0681818","3","1","1","1","0.0612245","3","2","2","0","0","1","41","45","49","6","2","0","1","0","1","0","151","27","28","128","3","46","50","54","10","2","0","2","0","1","0","163","29","30","138","4","0","0","22","1","2","0","2","0","0","0","2","0","0","0","10","0","0","1","0","0","0","0","0","0","0","0","0","0","10","0"
"L30259","MorfologikAnalyzer","org.apache.lucene.analysis.morfologik.MorfologikAnalyzer","L30237","L103","D:\Descargas\lucene-4.10.0\analysis\morfologik\src\java\org\apache\lucene\analysis\morfologik\MorfologikAnalyzer.java","33","1","93","2","0","0","0","0","0","0","0","0","1","0","0","5","8","2","1","7","12","1","0.576271","34","34","5","0","0.576271","34","1","1","1","1","1","25","61","6","4","1","0","5","0","4","0","16","7","2","14","1","25","61","6","4","1","0","5","0","4","0","16","7","2","14","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"L30283","MorfologikFilter","org.apache.lucene.analysis.morfologik.MorfologikFilter","L30237","L103","D:\Descargas\lucene-4.10.0\analysis\morfologik\src\java\org\apache\lucene\analysis\morfologik\MorfologikFilter.java","44","1","192","2","0","0","0","0","0","0","0","0","1","3","3","18","12","3","3","18","27","1","0.271429","38","36","7","0","0.271429","38","3","3","0","0","1","102","149","21","6","13","0","9","0","6","0","43","55","2","33","0","102","149","21","6","13","0","9","0","6","0","43","55","2","33","0","0","0","16","3","3","0","4","0","2","0","0","0","1","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"L30365","MorfologikFilterFactory","org.apache.lucene.analysis.morfologik.MorfologikFilterFactory","L30237","L103","D:\Descargas\lucene-4.10.0\analysis\morfologik\src\java\org\apache\lucene\analysis\morfologik\MorfologikFilterFactory.java","40","1","84","2","0","0","0","0","0","0","0","0","1","1","1","5","4","3","2","4","6","0.666667","0.509804","26","23","2","1","0.509804","26","2","2","0","0","1","25","45","11","12","4","0","2","3","2","0","36","8","4","22","1","25","45","11","12","4","0","2","3","2","0","36","8","4","22","1","0","0","9","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"L30397","MorphosyntacticTagsAttributeImpl","org.apache.lucene.analysis.morfologik.MorphosyntacticTagsAttributeImpl","L30237","L103","D:\Descargas\lucene-4.10.0\analysis\morfologik\src\java\org\apache\lucene\analysis\morfologik\MorphosyntacticTagsAttributeImpl.java","29","1","104","2","0","0","0","0","0","0","0","0","1","2","2","16","2","0","0","2","12","0.4","0.246377","17","17","4","6","0.246377","17","2","3","0","0","2","52","76","1","1","1","1","10","0","9","1","14","18","0","13","1","52","76","1","1","1","1","10","0","9","1","14","18","0","13","1","0","0","18","1","3","0","0","0","2","0","0","0","0","0","17","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"L30431","TestMorfologikAnalyzer","org.apache.lucene.analysis.morfologik.TestMorfologikAnalyzer","L30237","L103","D:\Descargas\lucene-4.10.0\analysis\morfologik\src\test\org\apache\lucene\analysis\morfologik\TestMorfologikAnalyzer.java","39","1","211","2","0.150769","1","2","2","0.115607","0.141844","20","20","1","2","2","14","9","0","0","12","22","1","0.070922","10","10","8","0","0.0662252","10","2","2","0","0","1","131","161","47","7","0","1","10","0","7","0","160","67","28","134","3","141","173","53","11","0","1","11","0","7","0","177","74","30","148","4","0","0","45","10","7","0","11","10","0","0","0","0","0","0","25","0","0","6","0","0","0","0","0","0","0","0","0","0","10","0"
"L30471","TestMorfologikFilterFactory","org.apache.lucene.analysis.morfologik.TestMorfologikFilterFactory","L30237","L103","D:\Descargas\lucene-4.10.0\analysis\morfologik\src\test\org\apache\lucene\analysis\morfologik\TestMorfologikFilterFactory.java","31","1","53","2","0","0","0","0","0","0","0","0","2","1","1","3","6","0","0","5","7","0.666667","0.16","4","4","2","1","0.16","4","2","2","0","0","1","21","23","47","6","0","0","2","0","2","0","152","13","28","129","3","21","23","47","6","0","0","2","0","2","0","152","13","28","129","3","0","0","16","0","3","0","2","0","1","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0"
"L30506","BeiderMorseFilter","org.apache.lucene.analysis.phonetic.BeiderMorseFilter","L30479","L103","D:\Descargas\lucene-4.10.0\analysis\phonetic\src\java\org\apache\lucene\analysis\phonetic\BeiderMorseFilter.java","37","1","110","2","0","0","0","0","0","0","0","0","1","2","2","9","6","5","5","9","13","0.6","0.342857","24","24","3","2","0.342857","24","3","3","0","0","1","46","74","16","6","8","0","4","0","4","0","38","20","2","31","0","46","74","16","6","8","0","4","0","4","0","38","20","2","31","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"L30542","BeiderMorseFilterFactory","org.apache.lucene.analysis.phonetic.BeiderMorseFilterFactory","L30479","L103","D:\Descargas\lucene-4.10.0\analysis\phonetic\src\java\org\apache\lucene\analysis\phonetic\BeiderMorseFilterFactory.java","43","1","70","2","0","0","0","0","0","0","0","0","1","1","1","6","4","1","4","5","7","0.666667","0.459459","17","14","2","1","0.459459","17","2","2","0","0","1","20","28","9","12","2","0","2","0","2","0","36","10","1","22","1","20","28","9","12","2","0","2","0","2","0","36","10","1","22","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"L30555","DoubleMetaphoneFilter","org.apache.lucene.analysis.phonetic.DoubleMetaphoneFilter","L30479","L103","D:\Descargas\lucene-4.10.0\analysis\phonetic\src\java\org\apache\lucene\analysis\phonetic\DoubleMetaphoneFilter.java","31","1","115","2","0","0","0","0","0","0","0","0","1","3","3","19","6","6","10","10","13","0.5","0.175676","13","7","2","2","0.175676","13","3","3","0","0","1","61","85","14","6","6","0","3","0","3","0","37","37","2","30","0","61","85","14","6","6","0","3","0","3","0","37","37","2","30","0","0","0","11","1","2","0","1","0","2","0","1","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"L30577","DoubleMetaphoneFilterFactory","org.apache.lucene.analysis.phonetic.DoubleMetaphoneFilterFactory","L30479","L103","D:\Descargas\lucene-4.10.0\analysis\phonetic\src\java\org\apache\lucene\analysis\phonetic\DoubleMetaphoneFilterFactory.java","36","1","62","2","0","0","0","0","0","0","0","0","1","1","1","3","4","1","3","4","6","0.666667","0.411765","14","14","2","1","0.411765","14","2","2","0","0","1","20","27","12","12","5","0","2","3","2","0","36","6","4","22","1","20","27","12","12","5","0","2","3","2","0","36","6","4","22","1","0","0","9","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"L30600","PhoneticFilter","org.apache.lucene.analysis.phonetic.PhoneticFilter","L30479","L103","D:\Descargas\lucene-4.10.0\analysis\phonetic\src\java\org\apache\lucene\analysis\phonetic\PhoneticFilter.java","33","1","101","2","0","0","0","0","0","0","0","0","1","2","2","11","6","5","5","10","13","0.5","0.296875","19","12","2","2","0.296875","19","3","3","0","0","1","45","69","13","6","5","0","3","0","3","0","37","30","2","30","0","45","69","13","6","5","0","3","0","3","0","37","30","2","30","0","0","0","7","1","6","0","0","0","4","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0"
"L30622","PhoneticFilterFactory","org.apache.lucene.analysis.phonetic.PhoneticFilterFactory","L30479","L103","D:\Descargas\lucene-4.10.0\analysis\phonetic\src\java\org\apache\lucene\analysis\phonetic\PhoneticFilterFactory.java","66","1","161","2","0","0","0","0","0","0","0","0","1","2","2","16","6","1","11","6","11","0.5","0.33913","39","33","2","2","0.33913","39","2","3","0","0","2","76","96","17","13","10","1","5","3","3","0","39","31","4","23","1","76","96","17","13","10","1","5","3","3","0","39","31","4","23","1","0","0","17","5","3","0","1","0","1","0","0","0","0","3","9","0","0","1","0","1","0","0","0","0","2","0","0","0","7","0"
"L30684","DoubleMetaphoneFilterTest","org.apache.lucene.analysis.phonetic.DoubleMetaphoneFilterTest","L30479","L103","D:\Descargas\lucene-4.10.0\analysis\phonetic\src\test\org\apache\lucene\analysis\phonetic\DoubleMetaphoneFilterTest.java","30","1","108","2","0.256757","1","1","1","0.265823","0.25","21","16","3","0","0","8","6","0","0","7","15","0","0.02","1","0","0","9","0.0153846","1","2","2","0","0","1","49","60","47","6","0","0","8","0","8","0","158","28","28","135","3","64","79","52","18","0","0","11","0","8","0","194","34","30","165","6","0","0","81","3","1","0","3","32","0","1","0","0","0","0","34","0","0","1","0","0","0","0","0","0","0","0","0","0","14","0"
"L30712","TestBeiderMorseFilter","org.apache.lucene.analysis.phonetic.TestBeiderMorseFilter","L30479","L103","D:\Descargas\lucene-4.10.0\analysis\phonetic\src\test\org\apache\lucene\analysis\phonetic\TestBeiderMorseFilter.java","41","1","127","2","0","0","0","0","0","0","0","0","3","1","1","7","9","0","0","14","20","0.571429","0.0645161","4","4","4","3","0.0493827","4","2","2","0","0","1","58","68","48","6","1","0","6","0","6","0","156","21","28","133","3","77","87","53","18","1","0","9","0","6","0","192","27","30","163","6","0","1","48","2","5","0","6","0","0","1","0","0","0","1","33","0","0","1","0","0","0","0","0","0","0","0","0","0","14","0"
