ID;Name;LongName;Parent;Component;Path;Line;Column;EndLine;EndColumn;CC;CCL;CCO;CI;CLC;CLLC;LDC;LLDC;LCOM5;NL;NLE;WMC;CBO;CBOI;NII;NOI;RFC;AD;CD;CLOC;DLOC;PDA;PUA;TCD;TCLOC;DIT;NOA;NOC;NOD;NOP;LLOC;LOC;NAtt;NG;NLA;NLG;NLM;NLPA;NLPM;NLS;NM;NOS;NPA;NPM;NS;TLLOC;TLOC;TNA;TNG;TNLA;TNLG;TNLM;TNLPA;TNLPM;TNLS;TNM;TNOS;TNPA;TNPM;TNS;WarningBlocker;WarningCritical;WarningInfo;WarningMajor;WarningMinor;Bad Practice Rules;Best Practice Rules;Clone Metric Rules;Code Style Rules;Cohesion Metric Rules;Complexity Metric Rules;Correctness Rules;Coupling Metric Rules;Design Rules;Documentation Metric Rules;Documentation Rules;Dodgy Code Rules;Error Prone Rules;Experimental Rules;Inheritance Metric Rules;Internationalization Rules;Multithreaded Correctness Rules;Multithreading Rules;Optimization Rules;Performance Rules;Runtime Rules;Security Code Guideline Rules;Security Rules;Size Metric Rules;Vulnerability Rules
L141562;DocTermsIndexDocValues$DocTermsIndexException;org.apache.lucene.queries.function.docvalues.DocTermsIndexDocValues$DocTermsIndexException;L141551;L103;D:\Descargas\lucene-4.9.0\queries\src\java\org\apache\lucene\queries\function\docvalues\DocTermsIndexDocValues.java;164;3;170;4;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0.5;0.375;3;3;1;1;0.375;3;0;0;0;0;0;5;7;0;0;0;0;1;0;1;0;1;1;0;1;0;5;7;0;0;0;0;1;0;1;0;1;1;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L141974;FunctionValues$1;org.apache.lucene.queries.function.FunctionValues$1;L102072;L103;D:\Descargas\lucene-4.9.0\queries\src\java\org\apache\lucene\queries\function\FunctionValues.java;108;30;120;6;0;0;0;0;0;0;0;0;1;0;0;2;4;0;0;1;3;0;0;0;0;0;3;0;0;1;1;0;0;1;11;13;1;1;1;1;2;0;2;0;2;2;0;2;0;11;13;1;1;1;1;2;0;2;0;2;2;0;2;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L142018;FunctionValues$2;org.apache.lucene.queries.function.FunctionValues$2;L136627;L103;D:\Descargas\lucene-4.9.0\queries\src\java\org\apache\lucene\queries\function\FunctionValues.java;166;50;172;8;1;1;6;1;1;1;7;7;1;0;0;2;2;0;0;1;2;0;0;0;0;0;2;0;0;4;4;0;0;1;7;7;11;3;0;0;1;0;1;0;19;2;3;15;1;7;7;11;3;0;0;1;0;1;0;19;2;3;15;1;0;0;17;0;0;0;0;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
L142025;FunctionValues$3;org.apache.lucene.queries.function.FunctionValues$3;L136627;L103;D:\Descargas\lucene-4.9.0\queries\src\java\org\apache\lucene\queries\function\FunctionValues.java;175;51;181;8;1;1;6;1;1;1;7;7;1;0;0;2;2;0;0;1;2;0;0;0;0;0;2;0;0;4;4;0;0;1;7;7;11;3;0;0;1;0;1;0;19;2;3;15;1;7;7;11;3;0;0;1;0;1;0;19;2;3;15;1;0;0;17;0;0;0;0;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
L142032;FunctionValues$4;org.apache.lucene.queries.function.FunctionValues$4;L136627;L103;D:\Descargas\lucene-4.9.0\queries\src\java\org\apache\lucene\queries\function\FunctionValues.java;184;51;190;8;1;1;6;1;1;1;7;7;1;0;0;2;2;0;0;1;2;0;0;0;0;0;2;0;0;4;4;0;0;1;7;7;11;3;0;0;1;0;1;0;19;2;3;15;1;7;7;11;3;0;0;1;0;1;0;19;2;3;15;1;0;0;17;0;0;0;0;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
L142039;FunctionValues$5;org.apache.lucene.queries.function.FunctionValues$5;L136627;L103;D:\Descargas\lucene-4.9.0\queries\src\java\org\apache\lucene\queries\function\FunctionValues.java;193;51;199;8;1;1;6;1;1;1;7;7;1;0;0;2;2;0;0;1;2;0;0;0;0;0;2;0;0;4;4;0;0;1;7;7;11;3;0;0;1;0;1;0;19;2;3;15;1;7;7;11;3;0;0;1;0;1;0;19;2;3;15;1;0;0;17;0;0;0;0;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
L142347;MultiFunction$Values;org.apache.lucene.queries.function.valuesource.MultiFunction$Values;L142333;L103;D:\Descargas\lucene-4.9.0\queries\src\java\org\apache\lucene\queries\function\valuesource\MultiFunction.java;73;3;90;4;0;0;0;0;0;0;0;0;1;0;0;3;3;2;1;3;6;0;0.0666667;1;0;0;4;0.0666667;1;1;1;1;1;1;14;18;1;4;1;1;3;0;3;0;27;3;0;27;0;14;18;1;4;1;1;3;0;3;0;27;3;0;27;0;0;0;9;1;3;0;2;0;1;0;0;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L143405;ScaleFloatFunction$ScaleInfo;org.apache.lucene.queries.function.valuesource.ScaleFloatFunction$ScaleInfo;L143392;L103;D:\Descargas\lucene-4.9.0\queries\src\java\org\apache\lucene\queries\function\valuesource\ScaleFloatFunction.java;58;3;61;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;4;2;0;2;0;0;0;0;0;0;0;0;0;0;4;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L144810;TestCustomScoreQuery$CustomAddQuery$1;org.apache.lucene.queries.TestCustomScoreQuery$CustomAddQuery$1;L144806;L103;D:\Descargas\lucene-4.9.0\queries\src\test\org\apache\lucene\queries\TestCustomScoreQuery.java;113;47;129;8;0;0;0;0;0;0;0;0;2;1;1;4;2;0;0;3;5;0;0;0;0;0;3;0;0;1;1;0;0;1;16;17;1;0;0;0;2;0;2;0;7;7;0;7;0;16;17;1;0;0;0;2;0;2;0;7;7;0;7;0;0;0;8;0;0;0;0;0;0;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L144833;TestCustomScoreQuery$CustomMulAddQuery$1;org.apache.lucene.queries.TestCustomScoreQuery$CustomMulAddQuery$1;L144829;L103;D:\Descargas\lucene-4.9.0\queries\src\test\org\apache\lucene\queries\TestCustomScoreQuery.java;148;47;179;8;0;0;0;0;0;0;0;0;2;1;1;6;2;0;0;4;6;0;0.09375;3;0;0;3;0.09375;3;1;1;0;0;1;29;32;1;0;0;0;2;0;2;0;7;17;0;7;0;29;32;1;0;0;0;2;0;2;0;7;17;0;7;0;0;0;8;0;0;0;0;0;0;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L144848;TestCustomScoreQuery$CustomExternalQuery$1;org.apache.lucene.queries.TestCustomScoreQuery$CustomExternalQuery$1;L144844;L103;D:\Descargas\lucene-4.9.0\queries\src\test\org\apache\lucene\queries\TestCustomScoreQuery.java;188;47;194;8;0;0;0;0;0;0;0;0;1;0;0;1;4;0;0;3;4;0;0;0;0;0;2;0;0;1;1;0;0;1;7;7;1;0;0;0;1;0;1;0;6;2;0;6;0;7;7;1;0;0;0;1;0;1;0;6;2;0;6;0;0;0;5;0;1;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L141071;BoostingQuery$1$1;org.apache.lucene.queries.BoostingQuery$1$1;L141067;L103;D:\Descargas\lucene-4.9.0\queries\src\java\org\apache\lucene\queries\BoostingQuery.java;57;53;74;12;0;0;0;0;0;0;0;0;1;1;1;3;2;0;0;0;1;0;0.235294;4;0;0;2;0.235294;4;2;2;0;0;1;13;18;4;2;0;0;1;0;1;0;16;4;0;12;0;13;18;4;2;0;0;1;0;1;0;16;4;0;12;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L141543;BoolDocValues$1;org.apache.lucene.queries.function.docvalues.BoolDocValues$1;L141540;L103;D:\Descargas\lucene-4.9.0\queries\src\java\org\apache\lucene\queries\function\docvalues\BoolDocValues.java;86;30;99;6;1;1;1;1;1;1;14;12;1;0;0;2;5;0;0;2;4;0;0;0;0;0;3;0;0;1;1;0;0;1;12;14;1;1;1;1;2;0;2;0;2;3;0;2;0;12;14;1;1;1;1;2;0;2;0;2;3;0;2;0;0;0;22;0;0;0;0;15;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
